Hospital,#colm,var_colm_stuc,hd_tm,vr0,l_mark_for_render,hd_cl1,hd_cl1_0,hd_cl1_1,hd_cl2,hd_cl2_0,hd_cl2_1,hd_cl3,hd_cl3_0,hd_cl3_1,hd_cl4,hd_cl4_0,hd_cl4_1,hd_cl5,hd_cl5_0,hd_cl5_1,hd_cl6,hd_cl6_0,hd_cl6_1,hd_cl7,hd_cl7_0,hd_cl7_1,hd_cl8,hd_cl8_0,hd_cl8_1,hd_cl9,hd_cl9_0,hd_cl9_1,start1,start_no,start1_t,end1,end_no,end1_t,sbt,sbt_cnsd,sbt_not_cnsd,sbt_no,vacant_box,correct_box,correct_spl_box,boxwise_corr,spf_spl_corr,head_to_home,specific_head_corr,correct_head,cnt_cond,space_within_box,pre_peronailse_at_basic_ext,peronailse_at_basic_ext,peronailse_at_merge,num_data,fc_yes,add_head,head_pos_corr,add_subtotal,sift_sbt,head_to_head_sbt,add_to_cnld,one_to_many,recognise_head,one_to_two_line,w_mark_txt,crop_data_1,clean_data_1,cd1_yes,ss1_yes,skip_data_1,sd1_yes,addj_overlap,clean_amt,ca_yes,crop_shift_1,cs1_yes,correct_cld_1,prefer_next,shift_data_1,merge_param,merge_space,mp_else,merge_set,spl_bottom,qty,date,rate,total,discount,amount,disc_func,rate_func,dot_zz_func,datetime_func,dtf_yes,date_func,df_yes,head_list,hdl_no,lebels,head_identify_1,correct_combination,default_clm_rng
kauvery-pharma,6,,"Amount,11",100,,"Item Name,Item|tom Name","1,1,0","5,1,0","Batch No,Expiry","4,1,0","5,2,1","Expiry,Expiry","2,10,0","1,1,0","Qty,Qty|aty","1,10,0","1,2,0","MRP,MRP","1,2,0","1,2,0","Amount,Amount","2,3,0","3,1,0",,,,,,,,,,"Item Name|Itern Name|Hem Name,",,25,"Total Bill Amount|Round off|Round of,Page,No. 199,No. 190",,-10,Subtotal,,,sbt,,"2,RY MEDIOtal,Total#",,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,yes,"TIN|TIN No|IP No|Name|Age/Sex|TAN,0,TIN|TAN,0,Batch No|Expiry,2,TIN|TAN,0,: Mr.Suriyakhailesh.Rv C/O.Venkatesh.Br|: 19 Years / Male|:P0000040072|Item Name|Batch No,1",,,,,,,,,"\d\.\d,\d\s\d,\d\.\d|\d\s\d,\d\.\d,4,4,5,4,2",,,,,,,,,,,,,,,,,,Pharmacy,,"Item,Remark,Remark,Qty,Rate,Amount",,,
holy,6,,"Amoun|mouri!,11",80,,"Date,Date|Pate","2,1,0","1,10,0","Description,Description|escription|cription|Jesen ption","8,10,0","2,1,0","GST,Description|escription|cription|Jesen ption","2,1,1","11,2,0","Rate,Amount|mouri","4,1,0","33,10,1","Qty,Amount|mouri","24,10,0","2,1,1","Amount,Amount|mouri","4,5,0","1,1,0",,,,,,,,,,"Description|cription|Jesen ption,Qty|aty|Amount|mouri",,-20,"Gross Total,Print Date & Tine:,Printed By,Page",,-12,TOTAL,,,Total Vitamin,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,,,,,"4,3,space#3,4space#",yes,"GSTIN|Rupees in|Date|Printed By|Pinted By|Printed By 7464|Prinled By 1753|Printed By 1837,0,Rate|State Code :- 07|102.00 State Code : - 07|Race,3,Qty|aty|Rate|Amount,4,ONE LAKH SIXTY EIGHT THOUSAND FIVE HUNDRED AND TWENTY FOUR RUPEES|Print Date,1,OKHLAROAD 1=110 025|OKHE|ROAD,2",,,,,,,,,"Ecg|Echocardiography|Instruments & Special Equipments|Investigations Bedside|Ot Supplies(Disposables)|Oxygen|Supplies (Ward Disposables),\d\.\d|\d\s\d,\d\/\d,\d\.\d,\d\.\d,\d\.\d,0,3,0,5,3,5,2",,,"HDU/POST OP,CCU,CU4,ICCU,ICU4,GOPD PHARMACY,CSSD,SSD,FIRST PR,OT NURSINGSTATION,SOPD PHARMACY,CCU,OT - MAIN OT SUPPLIES,PHYSICAL THERAPY,DIET FOR ATTENDANTS,T SUPPLIES(DISPOSABLES),NS,T NURSINGSTATION,PHYSIOTHERAPY,FOURTH WARD,CARDIOLOGY,ICU,NS,SEMI ICU,ROOMS,FOURTH PR,2PR,Iccu,ICU,SEMI ICU,NURSING PROCEDURES,SERVICES PROVIDED BY EMPANELLED AGENCY,SECOND WARD,NS,DIET FOR ATTENDANTS,T SUPPLIES(DISPOSABLES),PHYSICAL THERAPY,CSSD,csso,3PR,CASUALTY",,,,,,,,,,,,,,,"SERVICES,ROOMS,VISITS,CONSULTATION,LABORATORY,INSTRUMENTS & SPECIAL EQUIPMENTS,SUPPLIES (WARD DISPOSABLES),PHARMACY,WARD STOCK MEDICINE,PHARMACY RETURNS,SURGERY - SURGERY - GENERAL,ANAESTHESIA CHARGES,OPERATION THEATER CHARGES,RAD-C.T. SCAN,RAD-ULTRA SOUND,ECG,TREATMENT,VENTILATOR,ECHOCARDIOGRAPHY,OXYGEN,OT SUPPLIES(DISPOSABLES),INVESTIGATIONS BEDSIDE,SERVICES,RADIOLOGY,SURGERY,DIET FOR ATTENDANTS,PACKAGE - CARDIOLOGY PACKAGE,PHYSICAL THERAPY,OT SCREENING,RAD-XRAY,PACKAGE,SURGERY - ORTHOPAEDIC,SURGERY - SURGERY . GENERAL,FOOD & BEVERAGE CHARGES,FOOD AND BEVERAGE CHARGES",,"Date,Description,GST,Rate,Qty,Amount",,,
Bethany,6,yes,"Telephone|Telephon|I'clephone|I'elephant,10",40,,"Vch Date,Telephone|Telephon|I'clephone|I'elephant,0,Telephone|Telephon|I'clephone|I'elephant,2","3,10,0","1,1,0","Description,Telephone|Telephon|I'clephone|I'elephant,0,Telephone|Telephon|I'clephone|I'elephant,2","2,1,1","4,1,0","Patient Class,Telephone|Telephon|I'clephone|I'elephant,0,Telephone|Telephon|I'clephone|I'elephant,2","5,1,1","6,1,0","Units/Qt,Bill No,0,Bill No,2","1,1,1","3,2,0","Remark,Bill No,0,Bill No,0","1,10,1","3,10,1","Amount,Bill No,0,Bill No,2","38,10,1","8,1,0",,,,,,,,,,"Telephone|Telephon|I'clephone|I'elephant,",,3,"Gross Total,Concession Details,Page",,40,SubTotal ,,,Total Vitamin,,"0,PHYSIOTHERAPI,PHYSIOTHERAPY# 0,TOLOGY,HAEMATOLOGY#0,WARD / OF PROCEDURE,WARD / OT PROCEDURE#1,02-03-2022CONSUMABLES,CONSUMABLES#0,Sub Total For,SubTotal For#0,HAEMAHAEMATOLOGY,HAEMATOLOGY#0,VURSING CHARGES,NURSING CHARGES#0,HEMAHAEMATOLOGY,HAEMATOLOGY#0,PHIDKE,PHADKE#0,PHARMA ICY,PHARMACY",,"0,TORS VISIT,DOCTORS VISIT#0,SYSTE,SYSTEM#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,"5,4,space#",yes,"Vch No.ch Date SACCd|Start Date,0,Description,1,Patient Class,2,Units/O|Rate|Fate|Race|ate,3,Amount|Amt|RateAm|Race|Am|Art.t,5",,,,,,,,,"\d\-\d{2}\-\d|\d\s\d\-\d{2}\-\d|\d\-\d{2}\-\d{4}|Package,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d|\D\.\d,0,5,5,5,5,5,2",,,"BED CHARGES - IP,NURSING CHARGES,IPD - VISIT CHARGES,WARD / OT PROCEDURE,CHEMOTHERAPY,GENERAL SURGERY-PORT INSERTION,PHARMACY,ROUNDING OFF,ORTHOPEDIC SURGERY-LUMBAR DECOMPRESSION (SM+),EQUIPMENT CHARGES,EQUIPMENT CHARGES / MEDICAL GASES,HAEMATOLOGY,BIOCHEMISTRY,SEROLOGY,PHADKE LAB,IMMUNOLOGY,CT-SCAN,X RAY,ULTRA SONOGRAPHY,CARDIOLOGY,CONSUMABLES PPE,ANITA BORGES,CLINICAL PATHOLOGY,ROUNDING OFF,PATHOLOGY,SURGERY,GENERAL SURGERY-LARGE COMPLEX OVARIAN MASS EXCISION,GYNECOLOGY SURGERY-LAP SALPHINGO OOPHORECTOMY (ESM),GENERAL SURGERY-TRANSVERSE COLOSTOMY (SM+),IPD - VISIT CHARGES,X RAY,WARD/ OT PROCEDURE,MICROBIOLOGY,GENERAL SURGERY-I & D,GENERAL SURGERY-EXOF TUMOUR,PHYSIO & NEURO-REHAB,NEUROLOGY",,,,,,,,,,,,,,,"BED CHARGES,NURSING CHARGES,RADIOLOGY,DOCTORS VISIT,PROCEDURE,ONCOLOGY PROCEDURE,SURGERY,PHARMACY,CONSUMABLES,PATHOLOGY,PHYSIOTHERAPY,EQUIPMENT CHARGES / MEDICAL GASES,SYSTEM,PATHOLOGY,BLOOD BANKS,Package Details",,"Date,Description,Remark,Qty,Remark,Amount",,,
Bethany-pharma,6,,"Item Name|tem Name|item Nam|Item Nam,10",40,,"Trn Date,Trn|I'm|trn","2,1,0","1,10,0","HSN Code,HSN","2,10,0","1,10,0","Item Name,Item|tem|item","1,1,0","3,1,0","Unit,Unit","3,2,0","2,10,0","Quantity,Quantity","1,10,1","1,10,0","Amount,Amount","1,1,0","1,10,0",,,,,,,,,,"Unit,",,8,"Page|page,",,10,Grand Total,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,yes,,,,,,,,,,,,,"0,1,space#",yes,"Patient's Signature,0,Patient's Signature,0,Patient's Signature,0,Patient's Signature,0,Total For|Total F|al For,0",,,,,,,,,"\d\/\d{2}\/\d{2},\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,0,5,5,5,3",,,,,,,,,,,,,,,,,,Medicines,,"Date,Code,Description,Remark,Quantity,Amount",,,
golden-jaipur,6,,"Particular,11",60,,"Date,Particular,1","5,1,0","2,1,1","Particular,Particular,1","1,1,0","4,1,0","Rate,Rate,1","3,1,0","1,10,1","Qty,Qty|Oty,1","7,10,0","1,10,1","Amount,Amount,1","1,2,0","1,10,0","Payer Amt,Amt,1","3,2,1","4,1,0",,,,,,,,,,"Particular,unit of Jaipur Golden Charitable Clinical Laboratory Trust|Bill No.|Patient Name|I. P. NO.|T. P. NO.|!.P. NO.|I P. NO.|I.P. No.|. P. No.|I.P. No.|it of Jaipur Golden Charitable Clinical Laboratory Trust",,-10,"Jet Bill Amount|Net Bill Amount,Total Bill Amount,Printed By|rinted By|Inted By|Sector - 3|Prepared By",,40,Total for,,,Total Vitamin,,"0,ISIT FEE,VISIT FEE#0,NAESTHESIOLOGY,ANAESTHESIOLOGY#0,.ABORATORY,LABORATORY#0,CG,ECG#0,-ARM (MAJOR),C-ARM (MAJOR)#0,1:SC HEADS,MISC HEADS#0,LOOD BANK,BLOOD BANK#0,MPLANTS,IMPLANTS#0,VVISIT FEE,VISIT FEE#0,EECG,ECG#0,""MT/ECHO 5TH FLOOR,TMT/ECHO 5TH FLOOR#0,CARDIAC IIMPLANTS,CARDIAC IMPLANTS#0,BBLOOD BANK,BLOOD BANK#",,,,,,,,,yes,,,,,,,,,,,,,,,,,,"2,3,space#",,,,,,,,,,,"\d\/\d{2}\/\d{2},\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,0,2,4,5,2",,,,,,,,,,,,,,,,,,"BED CHARGES,RADIOLOGY,RADIOLOGY OUTSOURCE,VISIT FEE,ROUND OFF,DIETITCIS CLINIC,MISC HEADS,MEDICAL GASES,ECG,NEBULIZER (IPD) PER SITTING,DEPARTMENT OF CARDIAC SCIENCES,LABORATORY,OPERATION THEATRE,Surgeon Fee + Anesthesist Fee,ADMISSION CHARGES,CARDIAC IMPLANTS,PHARMACY (OUTSOURCE),ANAESTHESIOLOGY,RESPIRATORY MEDICINE,MEDICAL CONSUMABLE (OPERATION THEATRE),PHYSIOTHERAPY,BATTERY DRILL,C-ARM (MAJOR),BLOOD BANK,DRESSING,IMPLANTS,PHARMACY (OUTSOURCE),GENERAL SURGERY,MEDICAL CONSUMABLE (CATH LAB),GYNAECOLOGY,TMT/ECHO 5TH FLOOR,CRITICAL CARE,GASTROENTEROLOGY,MEDICAL CONSUMABLE (DAY CARE),Good and Services Tax - GST",,"Date,Particulars,Rate,Qty,Amount,Remark",,"3,2,4",
fortismohali,6,,"Order Item,12",35,,"Sl.,Order","3,2,0","8,10,0","Order,Order","3,1,0","3,1,1","Qty,Qty","1,10,0","1,4,0","Price,Price,0","4,10,0","0,1,0","Discount,Discount","1,4,0","1,4,0","NetAmt,NetA|NotA|Amt","3,2,0","1,1,0",,,,,,,,,,,,,,,,Page,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,"1,2,space#",yes,"Print Range,1,Print Range,1,Print Range,1,Print Range,1,Print,4",,,,yes,"^\d{1,2}\s{1};0;2;1;1",,,,,,,,"yes,2",,,,,,,,,,,,,,"MEDICAL /SURGICAL PROCEDURE,ROOM RENT,COVID-19,DRUGS,Implant/Stent/Device/Graft,MEDICAL CONSUMABLE,INVESTIGATION,DIAGNOSTIC,BLOOD BANK,CONSULTATION,HOSPITAL CHARGES,ADMISSION CHARGES,EQUIPMENT CHARGE,OTHERS,PACKAGES,CRITICAL CARE CHARGE",,"Sl#,Item,Quantity,Price,Remark,Amount",,"2,3,5",
Basavatarakam,6,,"Date,5",60,,"Date,Date,1","2,1,0","1,1,0","Description,Description","2,1,0","3,10,0","Days/Qty,Qty","4,10,0","1,10,0","Rate,Rate,1","8,10,0","7,10,0","Gross Amount,Gross,1","8,10,0","2,10,0","Net,Net|GST,1","1,10,0","2,1,0",,,,,,,,,,"Description|Qty|Rate,Name|Nang,MR No",,-25,"Cancer Help,",,10,Subtotal,,,Total Vitamin,,,,"0,E CHARGES,ATRE CHARGES#",,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,yes,"Gross amt,4,Gross amt,4,Gross amt,4,GST|Net,5,https,0",,,,,,,,,"\d+\-\w+\-\d+|\d+\-\w+\-\s?\d+|\d+\-\w+\s\-\d+|\d+\s\D\w+\-\d+|\w+\s\-\s\d+|\w+\s\d+,\d+\-\w+\-\d+,\d+\-\w+\-\d+,\d+\-\w+\-\d+,0,0,0,0,2",,,,,,,,,,,,,,,,,,"Chemotherapy Charges,Laboratory,High Dependency Unit,Operation Theatre Room Rent,Surgeon Charges,Room Rent,Oxygen Charges,Warmer Charges,Glucometer Charges,Assistant Surgeon Charges,Consultation Charges,Anesthetist Charges,Surgical Intensive Care Unit,Radiology,OT Instrument,ROOM RENT,CHEMOTHERAPY CHARGES,Nuclear Medicine,SURGICAL INTENSIVE CARE UNIT,LABORATORY,RADIOLOGY,GLUCOMETER CHARGES,OPERATION THEATRE CHARGES,OXYGEN CHARGES,PHYSIOTHERAPY CHARGES,WARMER CHARGES,CONSULTATION CHARGES,ANESTHETIST CHARGES,SURGEON CHARGES,ASSISTANT SURGEON CHARGES,DRESSING CHARGES,OT INSTRUMENTS,SYRINGE PUMP CHARGES,VENTILATOR CHARGES,CARDIOLOGY PROCEDURES,ABG,MEDICAL INTENSIVE CARE UNIT",,"Date,Description,Qty,Rate,Amount,Remark",,,"11, 371, 475, 885, 1039, 1149, 1300, 1511, 1504, 1694, 2159, 2419"
Basavatarakam-pharma,6,,"Description,12",60,,"Description,Description","1,1,0","1,10,0","Expiry,Expiry","2,1,0","1,10,0","Expiry,Expiry","2,1,0","1,10,0","Qty,Qty","2,10,0","1,10,1","MRP,MRP|Unit","2,10,0","1,10,1","Amount,Amount","5,10,0","1,10,0",,,,,,,,,,"Description,MR No,Expiry",,1,"Total bill|Total cancelled amount,Cancer Help|Help Line",,10,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"BABAVATARAKANBasavatarakam Indo-American Cancer Hospital & Research Institute|Promoted by Smit Nandarun Basavatar aka Rama Rao Memorial Cancer Foundation Inthe & Indo American Cancer Organisation,0,DO AMERICANPh - 91-40-2355 1235 2360 7944 . Fax . 91 40-2354 2120 - E mail Info@hinduscancer com . Website www.induscancer com,0,Name :Mr ANAWAR JALIL KHAN,0,MR2118377|Amount|SUB|TOTAL,5,SUB|TOTAL|Qty,3",,,,,,,,,"\d\s?\.\s?\d|\d\s\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,4,4,5,5,2",,,,,,,,,,,,,,,,,,Pharmacy,,"Description,Remark,Expiry,Qty,Rate,Amount",,,
Basavatarakam-pharma2(Hold),6,,"Description,12",40,,"Description,Description","1,1,0","1,10,0","Batchno,Batch","1,4,0","1,10,0","Expiry,Expiry","1,10,0","1,10,0","Qty,Qty","2,10,0","1,10,1","Unit Rate,Rate","1,2,0","1,4,0","Amount,Amount","3,10,0","1,10,0",,,,,,,,,,"Description,MR No,",,8,"Total Bill Amount|Total cancelled amount,Cancer Help",,10,SUB TOTAL,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"BABAVATARAKANBasavatarakam Indo-American Cancer Hospital & Research Institute,0,Promoted by Smit Nandarun Basavatar aka Rama Rao Memorial Cancer Foundation Inthe & Indo American Cancer Organisation,0,DO AMERICANPh - 91-40-2355 1235 2360 7944 . Fax . 91 40-2354 2120 - E mail Info@hinduscancer com . Website www.induscancer com,0,Name :Mr ANAWAR JALIL KHAN,0,MR2118377,5",,,,,,,,,"\d{3},\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,0,4,4,5,2",,,,,,,,,,,,,,,,,,Pharmacy,,"Description,Remark,Expiry,Qty,Rate,Amount",,"3,4,5",
Basavatarakam1(Hold),6,,"Date,5",60,,"Date,Date,1","1,1,0","1,1,0","Description,SAC,1","1,1,0","7,10,0","Days/Qty,Qty","4,10,0","3,10,0","Rate,Rate,1","2,1,0","7,10,0","Gross Amount,Gross,1","1,10,0","2,10,0","Net,Net,1","2,10,0","2,1,0",,,,,,,,,,"Qty,Name|Nang,MR No",,0,"Cancer Help,",,10,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d{4}\-\d{2}\-\d|\d\-\w{3}\-\d|\d{4}\-|\d\s\d\s\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,0,4,5,5,2",,,,,,,,,,,,,,,,,,"Chemotherapy Charges,Laboratory,High Dependency Unit,Operation Theatre Room Rent,Surgeon Charges,Room Rent,Oxygen Charges,Warmer Charges,Glucometer Charges,Assistant Surgeon Charges,Consultation Charges,Anesthetist Charges,Surgical Intensive Care Unit,Radiology,OT Instrument,ROOM RENT,CHEMOTHERAPY CHARGES,Nuclear Medicine",,"Date,Description,Qty,Rate,Amount,Remark",,"2,3,4",
Basavatarakam1-pharma(Hold),6,,"Description,12",40,,"HSN,HSN","1,1,0","1,10,0","Description,Description","1,1,0","1,10,0","Expiry,Expiry","1,10,0","1,10,0","Qty,Qty","2,10,0","1,10,1","MRP,MRP","1,10,0","1,10,1","Amount,Amount","3,10,0","1,10,0",,,,,,,,,,"Description,MR No,",,8,"Total Bill Amount|Total cancelled amount,Cancer Help",,10,TOTAL,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"BABAVATARAKANBasavatarakam Indo-American Cancer Hospital & Research Institute,0,Promoted by Smit Nandarun Basavatar aka Rama Rao Memorial Cancer Foundation Inthe & Indo American Cancer Organisation,0,DO AMERICANPh - 91-40-2355 1235 2360 7944 . Fax . 91 40-2354 2120 - E mail Info@hinduscancer com . Website www.induscancer com,0,Name :Mr ANAWAR JALIL KHAN,0,MR2118377,5",,,,,,,,,"\d{3},\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,0,4,4,5,2",,,,,,,,,,,,,,,,,,Pharmacy,,"Code,Description,Expiry,Qty,Rate,Amount",,"3,4,5",
dayanand,7,,"Quantity,10",40,,"Particulars,Particulars|ticulars","2,1,0","3,1,0","Reference code,Reference","1,10,0","1,10,0","Unit Rate,Rate","10,10,0","1,10,0","Quantity,Quantity","1,10,0","3,10,1","Unit,Quantity","6,10,1","1,1,0","Amount(with applicable taxes),Amount","1,20,0","1,1,0","Consultant,Consultant","1,1,1","1,1,0",,,,,,,"Quantity,",,2,"Total,Page",,5,Sub tota,,,total Vitamin,,,,"4,Sub tula,Sub total#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Code|code,1,Code|Print Date,0,Code,1,Code,1,applicable taxes,5",,,,,,,,,"\d\s?\.\s?\d|\d\s\d{2}\.\d{2},\d\s?\.\s?\d|\d\s\d|\d\.\D|\d\s\D|\d\s\d,\d\s?\.\s?\d|\d\s\d|\d\s\d{2}\s\d,\d\s?\.\s?\d,2,2,6,6,3",,,,,,,,,,,,,,,,,,"ADMISSION FEE PRIVATE,BED CHARGES (DMCH),ANAESTHESIA FEE,BIOCHEMISTRY,BLOOD BANK,C. S. S. D,DIETICIAN CONSULTATION,ENT,E. C. G.,EMERGENCY WARD REQUISITION,GENERAL MEDICAL CONSUMABLES,MICROBIOLOGY,MISC. CHARGE$,MISC. CHARGES,NURSING CARE CHARGES,O. T. EXPENSES,OPERATION FEES,PATHOLOGY,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY,PROCEDURE CHARGES,PULSE OXYMETER,REST OF MATERIAL,ROOM RENT,SUTURES(SUT),VISITING FEES,VISITING FEES PRIVATE,FEES PRIVATE,XRAY [DMCH],ADMISSION FEE,PAEDIATRICS,OPERATION FEES PRIVATE,GYNAE,PHARMACY CHARGES,VISITING FEES ICU / NSCU,NURSING CARE CHARGES (HDHI),PATHOLOGY (HDHI),VISITING FEES (HDHI),XRAY [HDHI],GENERAL CHARGES (HDHI),ECG [HDHI],DIAGNOSTIC (HDHI),BIOCHEMISTRY (HDHI),BED CHARGES (HDHI),ULTRA SOUND,ENDOSCOPY / G. I.,ONCO WING PHARMACY,ONCO WING DAY CARE,CGST @2.5% ON ROOM RENT,'SGST @2.5% ON ROOM RENT,VISITING FEES PRIVATE (DMCH),ROOM RENT DMCH,DMCH MOLECULAR GENETICS LABORATORY,CAPSULE ENDOSCOPY,C. T. SCAN,XRAY [DMCHI,VISITING FEES (DMCH),A SOUND,NEPHROLOGY,ANAESTHESIA,SGST @2.5% ON ROOM RENT",,"Particulars,Code,Rate,Quantity,None,None,Amount",,"3,2,6",
dayanand-pharma,7,,"Generic,7",100,,"Date,Ref|Ref.","5,1,0","1,4,0","Brand Name,Brand","1,1,0","3,10,0","HSN,HSN","4,10,0","4,10,1","MRP,MRP","14,10,0","7,1,0","Unit,Unit","6,1,1","6,1,0","Qty,Qty","6,1,1","6,1,0","Amount,Amount","6,1,1","6,1,0",,,,,,,"Agency Name,",,2,"Print Date Time,",,-10,Total Am,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,yes,,,,,,,,,,,,,,yes,"Brand Name,1,HSN,2,HSN,2,Page,3,HSN,2",,,,,,,,,"\d\-\d{2}\-\d|\d\s\d{2}\-\d{2}|\d\-\d{2}\-\.,\d\-\d{2}\-\d,\d\-\d{2}\-\d,\d\-\d{2}\-\d,0,0,0,0,3",,,,,,,,,,,,,,,,,,Pharmacy,,"Date,Particulars,HSN,Remark,Rate,Qty,Amount",,,
dayanand_daycare,7,,"Quantity,10",40,,"Particulars,Particulars|ticulars","2,1,0","3,1,0","Reference code,Reference","1,10,0","1,10,0","Unit Rate,Rate","10,10,0","1,10,0","Quantity,Quantity","1,10,0","3,10,1","Unit,Quantity","6,10,1","1,1,0","Amount(with applicable taxes),Amount","1,20,0","1,1,0","Consultant,Consultant","1,1,1","1,1,0",,,,,,,"Quantity,",,2,"Total,Page",,5,Sub tota,,,total Vitamin,,,,"4,Sub tula,Sub total#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Code|code,1,Code|Print Date,0,Code,1,Code,1,applicable taxes,5",,,,,,,,,"\d\s?\.\s?\d|\d\s\d{2}\.\d{2},\d\s?\.\s?\d|\d\s\d|\d\.\D|\d\s\D|\d\s\d,\d\s?\.\s?\d|\d\s\d|\d\s\d{2}\s\d,\d\s?\.\s?\d,2,2,6,6,3",,,,,,,,,,,,,,,,,,"ADMISSION FEE PRIVATE,BED CHARGES (DMCH),ANAESTHESIA FEE,BIOCHEMISTRY,BLOOD BANK,C. S. S. D,DIETICIAN CONSULTATION,ENT,E. C. G.,EMERGENCY WARD REQUISITION,GENERAL MEDICAL CONSUMABLES,MICROBIOLOGY,MISC. CHARGE$,MISC. CHARGES,NURSING CARE CHARGES,O. T. EXPENSES,OPERATION FEES,PATHOLOGY,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY,PROCEDURE CHARGES,PULSE OXYMETER,REST OF MATERIAL,ROOM RENT,SUTURES(SUT),VISITING FEES,VISITING FEES PRIVATE,FEES PRIVATE,XRAY [DMCH],ADMISSION FEE,PAEDIATRICS,OPERATION FEES PRIVATE,GYNAE,PHARMACY CHARGES,VISITING FEES ICU / NSCU,NURSING CARE CHARGES (HDHI),PATHOLOGY (HDHI),VISITING FEES (HDHI),XRAY [HDHI],GENERAL CHARGES (HDHI),ECG [HDHI],DIAGNOSTIC (HDHI),BIOCHEMISTRY (HDHI),BED CHARGES (HDHI),ULTRA SOUND,ENDOSCOPY / G. I.,ONCO WING PHARMACY,ONCO WING DAY CARE",,"Particulars,Code,Rate,Quantity,None,None,Amount",,"3,2,6",
dayanand_daycare-pharma,6,yes,"BATCH NO,9",100,,"Date,ISSUED,0,ISSUED,0","1,1,0","1,1,0","Item,ITEM,0,ITEM,0","1,1,1","3,1,0","QTY,QTY,0,QTY,0","1,1,0","1,2,0","EXPIRY,EXPIRY,0,EXPIRY,0","1,2,0","1,2,0","RATE,RATE,0,RATE,0","1,2,0","3,10,0","AMOUNT,AMOUNT,0,AMOUNT,0","1,1,1","2,1,0",,,,,,,,,,"MEDICINE CH,",,1,"DISCOUNT,",,-1,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Brand Name,1,HSN,2,HSN,2,QTY,2,EXPIRY DATE,3",,,,,,,,,"\d\-\w+\-\d|\d\s\w+\-\d{2}|\d\-\d{2}\-\.,\d\-\w+\-\d,\d\-\w+\-\d,\d\-\d{2}\-\d,0,0,0,0,3",,,,,,,,,,,,,,,,,,Pharmacy,,"Date,Particulars,Qty,Remark,Rate,Amount",,,
dayanand1,6,,"Head Name,9",40,,"Head Name,Head","1,1,0","3,1,0","Price,Price","4,10,0","1,10,1","Quantity,Quantity","3,10,1","1,1,0","Total Amount,Total","3,1,1","3,1,0","Total Amount,Total","3,1,1","3,1,0","Total Amount,Total","1,30,0","2,1,0",,,,,,,,,,"Head Name,",,2,"Running Bill Till Date,",,25,Sub Total,,,Total vitamin,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d{4}|\d{2}|\d{2},\d\.\d,\d\.\d,\d{4}|\d{2}|\d{2},1,2,2,5,3",,,,,,,,,,,,,,,,,,"Anaesthesia Fee,Bed Charges,Biochemistry,C. S. S. D,Dietician Consultation,E. C. G.,Material / Pharmacy Charges,Microbiology,Misc Charges,Nursing Care Charges,O. T. Expenses,Operation Fees,Pathology,Visiting Fees,XRay [DMCH],Misc. Charges,Visiting Fees ICU / NSCU,Ventilator Charges,Ultra Sound,Pressure Care Medical Equipment,Physiotherapy and Occupational Therapy,Endoscopy / G. I.,Emergency Ward Requisition,E. C. G,Diagnostic (HDHI),Visiting Fees ICU / NSCU (DMCH),Procedure Charges,Neurology,MRI,ICU REQUISITION,Blood Bank,Anaesthesia",,"Particulars,Rate,Quantity,None,None,Amount",,"2,1,5",
